course_id,course_2,content_id,type,topic,date,deadline,start,end,location,marker,hours_spent,material_hours,content,done,cal_id
System Identification with Parameter Estimation and Machine Learning,,lecture 1,lecture,Lecture,20/04/2026,,,,,,0.3,,,done,
Design Principles for Robotic and Mechatronic Mechanisms,,DPPM II,assignment,DPPM II,,,,,,,43.35,,,,
Professional and Personal Development,,PPD 1,assignment,PPD 1,,,,,,,21.75,,,,
Advanced Software Development for Robotics,,ASDfR 1,assignment,ASDfR 1,,,,,,,36.7,,,,
Advanced Software Development for Robotics,,ASDfR 2,assignment,ASDfR 2,,,,,,,27.45,,,,
Advanced Software Development for Robotics,,ASDfR 3,assignment,ASDfR 3,,,,,,,44.45,,,,
Biomechanics of Human Movement,,BMHM 1,assignment,BMHM 1,,,,,,,6.65,,,,
Biomechanics of Human Movement,,Biomechanics 2,assignment,Biomechanics 2,,,,,,,5.2,,,,
Biomechanics of Human Movement,,Biomechanics 3,assignment,Biomechanics 3,,,,,,,7.65,,,,
Modelling and Simulation,,M&S1,assignment,M&S1,,,,,,,13.85,,,,
Modelling and Simulation,,M&S2,assignment,M&S2,,,,,,,3.4,,,,
Modelling and Simulation,,M&S3,assignment,M&S3,,,,,,,11.95,,,,
Modelling and Simulation,,M&S4,assignment,M&S4,,,,,,,6.9,,,,
Modelling and Simulation,,M&S5,assignment,M&S5,,,,,,,8.6,,,,
Modelling and Simulation,,M&S6,assignment,M&S6,,,,,,,14.8,,,,
Modelling and Simulation,,M&S7,assignment,M&S7,,,,,,,20.35,,,,
Modelling and Simulation,,M&S,assignment,M&S,,,,,,,28.5,,,,
AI for Autonomous Robots,,AI1,assignment,AI1,,,,,,,26.2,,,,
AI for Autonomous Robots,,AI2,assignment,AI2,,,,,,,15.05,,,,
Biomechatronics,,BM1,assignment,BM1,,,,,,,9.55,,,,
Biomechatronics,,BM2,assignment,BM2,,,,,,,21.1,,,,
Biomechatronics,,BM3,assignment,BM3,,,,,,,15.15,,,,
Biomechatronics,,BM4,assignment,BM4,,,,,,,20.75,,,,
Professional and Personal Development,,PPD2,assignment,PPD2,,,,,,,7.25,,,,
CBL2,,CBL2,assignment,CBL2,,,,,,,15.25,,,,
System Identification with Parameter Estimation and Machine Learning,,tutorial,tutorial,Tutorial,29/06/2026,,,,important,,,,,,
System Identification with Parameter Estimation and Machine Learning,,exam,exam,Exam,,02/07/2026,,,important,,,,,,
System Identification with Parameter Estimation and Machine Learning,,exam review,exam review,Exam Review,09/07/2026,,,,important,,,,,,
System Identification with Parameter Estimation and Machine Learning,,resit,resit,Resit,20/07/2026,,,,important,,,,,,
Biomechatronics,,quiz,quiz,Quiz 2,,20/04/2026,,,,,,,,done,
Biomechatronics,,lecture 2,lecture,Lecture,21/04/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 3,,22/04/2026,,,,,,,,done,
Biomechatronics,,lecture 3,lecture,Lecture,22/04/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,28/04/2026,,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 4,,07/05/2026,,,,,,,,done,
Biomechatronics,,lecture 4,lecture,Lecture,30/04/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,04/05/2026,,,,,,,,,done,
Biomechatronics,,assignment,assignment,Assignment 1,,08/05/2026,,,,,,,,done,
Biomechatronics,,quiz,quiz,Quiz 5,,19/05/2026,,,,,,,,done,
Biomechatronics,,lecture 5,lecture,Lecture,08/05/2026,,,,,,,,,done,
Biomechatronics,,q&a,q&a,Q&A,11/05/2026,,,,,,,,,done,
