id,date,course_id,task,planned_hours,actual_hours,done,notes
,03/02/2026,Biomechanics,Preparation,,1.55,,
,05/02/2026,Biomechanics,Test 2,,1.75,,
,06/02/2026,Biomechanics,Lectorial,,1.6,,
,07/02/2026,Biomechanics,Matlab try,,0.6,,
,08/02/2026,Biomechanics,Prep 3,,0.8,,
,04/02/2026,DPPM1,Homework,,1.55,,
,05/02/2026,DPPM1,lecture 2,,0.7,,
,08/02/2026,DPPM1,"2 exercises, 3",,2.8,,
,04/02/2026,ASDfR,Lecture,,1.5,,
,07/02/2026,ASDfR,Install ROS2,,1.65,,
,05/02/2026,PPD,,,1.05,,
,06/02/2026,PPD,Meeting,,3.1,,
,10/02/2026,Biomechanics,Meeting,,0.5,,
,11/02/2026,Biomechanics,"Excursion, test4",,1.95,,
,12/02/2026,Biomechanics,Lectorials,,0.85,,
,10/02/2026,DPPM1,Lecture,,1.25,,
,13/02/2026,DPPM1,up to lect. 5,,1.2,,
,15/02/2026,DPPM1,,,0.15,,
,09/02/2026,ASDfR,software acquitance,,3.25,,
,10/02/2026,ASDfR,Lecture + ASS1,,4.75,,
,11/02/2026,ASDfR,programming,,3.85,,
,10/02/2026,PPD,finish writing,,,,
,12/02/2026,PPD,stuff,,0.55,,
,13/02/2026,PPD,Meeting 2,,1.25,,
,17/02/2026,Biomechanics,"Reading test, etc.",,0.5,,
,18/02/2026,Biomechanics,Matlab,,3.45,,
,19/02/2026,Biomechanics,Group Meeting,,0.75,,
,20/02/2026,Biomechanics,"Matlab, test",,,,
,16/02/2026,DPPM1,Lecture,,2.4,,
,20/02/2026,DPPM1,Up to Lec. 10!,,,,
,21/02/2026,DPPM1,Practice,,,,
,16/02/2026,ASDfR,Orientation,,0.3,,
,17/02/2026,ASDfR,1.2.1,,5.75,,
,18/02/2026,ASDfR,1.2,,2.35,,
,19/02/2026,ASDfR,"Lecture, ass work",,5.85,,
,20/02/2026,ASDfR,Finish Ass1,,2.45,,
,21/02/2026,ASDfR,Assignment,,1.35,,
,18/02/2026,PPD,Meeting,,,,
,21/02/2026,PPD,Personal profile,,1.5,,
,27/02/2026,DPPM1,lectures,,2,,
,28/02/2026,DPPM1,Practice,,2,,
