course_id,component,type,weight,grade,due_date,hours_spent,done,notes
Advanced Software Development for Robotics,Component 1,,0.16,,,,,
Advanced Software Development for Robotics,Component 2,,0.28,,,,,
Advanced Software Development for Robotics,Component 3,,0.36,,,,,
Advanced Software Development for Robotics,Component 4,,0.2,,,,,
Biomechanics of Human Movement,Component 1,,0.15,,,,,
Biomechanics of Human Movement,Component 2,,0.15,,,,,
Biomechanics of Human Movement,Component 3,,0.15,,,,,
Biomechanics of Human Movement,Component 4,,0.15,,,,,
Biomechanics of Human Movement,Component 5,,0.4,,,,,
Design Principles for Robotic and Mechatronic Mechanisms,Component 1,,0.5,,,,,
Design Principles for Robotic and Mechatronic Mechanisms,Component 2,,0.5,,,,,
AI for Autonomous Robots,Component 1,,0.35,,,,,
AI for Autonomous Robots,Component 2,,0.15,,,,,
AI for Autonomous Robots,Component 3,,0.2,,,,,
AI for Autonomous Robots,Component 4,,0.3,,,,,
Modelling and Simulation,Component 1,,0.1,,,,,
Modelling and Simulation,Component 2,,0.4,,,,,
Modelling and Simulation,Component 3,,0.5,,,,,
System Identification with Parameter Estimation and Machine Learning,Component 1,,0.2,,,,,
System Identification with Parameter Estimation and Machine Learning,Component 2,,0.8,,,,,
Biomechatronics,Component 1,,0.1,,,,,
Biomechatronics,Component 2,,0.15,,,,,
Biomechatronics,Component 3,,0.1,,,,,
Biomechatronics,Component 4,,0.15,,,,,
Biomechatronics,Component 5,,0.1,,,,,
Biomechatronics,Component 6,,0.4,,,,,
