,Daily plan,02/02/2026,,03/02/2026,,04/02/2026,,05/02/2026,,06/02/2026,,07/02/2026,,08/02/2026,,
,Week 1,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
,Daily plan,09/02/2026,,10/02/2026,,11/02/2026,,12/02/2026,,13/02/2026,,14/02/2026,,15/02/2026,,
,Week 2,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
,Daily plan,16/02/2026,,17/02/2026,,18/02/2026,,19/02/2026,,20/02/2026,,21/02/2026,,22/02/2026,,
,Week 3,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
,Daily plan,23/02/2026,,24/02/2026,,25/02/2026,,26/02/2026,,27/02/2026,,28/02/2026,,01/03/2026,,
,Week 4,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
,Daily plan,02/03/2026,,03/03/2026,,04/03/2026,,05/03/2026,,06/03/2026,,07/03/2026,,08/03/2026,,
,Week 5,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
,Daily plan,09/03/2026,,10/03/2026,,11/03/2026,,12/03/2026,,13/03/2026,,14/03/2026,,15/03/2026,,
,Week 6,,,,,,,,,,,,,,,
,Biomechanics,,,,,,,,,,,,,,,
,DPPM1,,,,,,,,,,,,,,,
,ASDfR,,,,,,,,,,,,,,,
,PPD,,,,,,,,,,,,,,,
,ELSE,,,,,,,,,,,,,,,
,Travel,,,,,,,,,,,,,,,
,WORK,,,,,,,,,,,,,,,
,SUM,,,,,,,,,,,,,,,
