Description,Sessions,Time [h],Date,This week,Today,Done?,Urgency level
Assignment 1,2,8,16/01/2026,0,0,1,Complete
Quiz 1,1,2,23/01/2026,0,0,1,Complete
Lab report 1,3,9,06/02/2026,0,0,1,Complete
Midterm exam,4,14,13/02/2026,0,0,0,Extremely High
Group presentation,2,6,20/02/2026,0,0,0,High
Assignment 2,2,8,27/02/2026,0,0,0,High
Essay draft,1,5,06/03/2026,0,0,0,Medium
Lab report 2,3,10,13/03/2026,0,0,0,Medium
Final exam,5,20,20/03/2026,0,0,0,Extremely High
Portfolio hand-in,2,7,27/03/2026,0,0,0,Low
