,Quartile,Courses,Abbrev.,Start,Finish,Time [min],Time [h],Grade,Exam,Assignment,Laboratory,EC,Comment,Est. Time [h],Ass. Time [h],Material
2A,Q3,Advanced Software Development for Robotics,202200109,04/02/2026,16/04/2026,,,,,100%,Labwork,5,"C++ course, in teams of two",140,,
2A,Q3,Biomechanics of Human Movement,201800156,03/02/2026,16/04/2026,,,,40%,4 x 15%,,5,Information,140,,
2A,Q3,Design Principles for Robotic and Mechatronic Mechanisms,202200107,04/02/2026,13/04/2026,,,,50%,2 x 25%,,5,All partial grades > 5.5,140,,
2A,Q3,Professional and Personal Development,202200115,02/02/2026,21/04/2026,,,,,,,0,,,,
2B,Q4,System Identification with Parameter Estimation and Machine Learning,202200111,20/04/2026,02/07/2026,,,,80%,20%,,5,,,,
2B,Q4,Biomechatronics,201200133,21/04/2026,24/06/2026,,,,40% | 10%,50%,,5,"4 assignments, 40% individual exam, 10% reading test",,,
2B,Q4,Modelling and Simulation,191211110,20/04/2026,05/07/2026,,,,,100%,,5,Assignment each week,,,
2B,Q4,AI for Autonomous Robots,202200112,21/04/2026,30/06/2026,,,,30%,70%,,5,,,,
2B,Q4,Professional and Personal Development,202200112,21/04/2026,28/02/2027,,,,,,,0,,,,
1A,Q1,Systems Engineering,202200100,31/08/2026,29/10/2026,,,,x,xx,,5,"Oral exam, exercises, case study reports",80,,
1A,Q1,"Modelling, Dynamics, and Kinematics",202200101,31/08/2026,04/11/2026,,,,80%,20%,,5,Energy based physical modelling for 3D multi-body systems,95,,
1A,Q1,Machine Learning I,202500276,31/08/2026,03/11/2026,,,,60%,40%,,5,Homework is the 40%,70,,
1A,Q1,Statistics and Probability,191506103,31/08/2026,05/11/2026,,,,100%,,,5,,50,,
1A,Q1,Natural Language Processing,202500277,31/08/2026,30/10/2026,,,,45%,25%|30%,,5,"exam, assignment (25%) and project report (30%)",,,
1B,Q2,Control System Design for Robotics,202200104,,,,,,40%|40%,20%,,5,Two exams and written group report (20%),70,,
1B,Q2,Robotics Innovation Tournament (mandatory),202200114,,,,,,,,,5,"10% individual, 90% group",,,
1B,Q2,Modelling of Technical Design Processes,201600018,31/08/2026,08/11/2026,,,,,,,5,Online quizzes and group assignment,,,
1B,Q2,Biostatistics,202500490,,,,,,100%,,,5,,30,,
1B,Q2,Advanced Topics in Finite Element Methods,201900091,,,,,,100%,,,5,,60,,
2A,Q3,Data Science,202500300,,,,,,,,,5,,,,
2A,Q3,Nonlinear control,201900085,,,,,,,Assignment,,5,Information,,,
2B,Q4,Soft Robotics,202000248,,,,,,,100%,,5,Group project and oral examination,,,
